accuracy,f1,precision,recall,n_estimators,max_depth,min_samples_split,min_samples_leaf
0.653588596515602,0.7117256688325202,0.7031892534040025,0.7204718880202238,200,,10,1
0.6510878323932313,0.7085799159878391,0.7025957290132547,0.7146669163428678,100,,10,1
0.643252104809803,0.6985796454982979,0.7006687388151078,0.6965029727072702,100,,30,1
0.6425296618411181,0.6990995205239153,0.6985603440216883,0.6996395299845513,200,,10,5
0.641056989635722,0.6952870689248478,0.7007084105928778,0.6899489724263845,200,,30,1
0.6368056906276918,0.6916125987967441,0.6971556316590564,0.6861570151210149,100,,10,5
0.6329989719080831,0.6877984210277502,0.6946287896872761,0.6811010720471888,200,,30,5
0.6328600405679513,0.6850523204538412,0.6978438228438228,0.6727213145451992,200,10.0,30,1
0.6320542387951874,0.6853435985172512,0.6958934517203108,0.6751088432189504,100,,30,5
0.6303314901775543,0.685558969510754,0.6923003484653205,0.6789476148120407,100,10.0,30,1
0.6260801911695241,0.6792515790728161,0.6919005535592891,0.6670567857310051,200,10.0,10,1
0.6233293506349162,0.6780659257148285,0.688099484262785,0.6683207714994617,200,6.0,10,5
0.6231904192947845,0.6761088155914877,0.6901696898771211,0.6626094283975469,200,6.0,30,1
0.6224679763260996,0.6749443766597287,0.6901849496036794,0.6603623425869576,200,10.0,10,5
0.6206340826363611,0.6741138560687433,0.6876887114054738,0.6610645569027668,200,10.0,30,5
0.6204951512962295,0.6740800839975183,0.6874665368702847,0.6612049997659286,100,10.0,10,1
0.6175775931534636,0.6750407291100985,0.6809737042682927,0.6692102429661533,200,6.0,30,5
0.6170496540609631,0.6702239663093414,0.6854779501737556,0.6556340995271757,100,10.0,10,5
0.6153546917113563,0.6695787086764531,0.6830622382390182,0.6566171995693085,100,10.0,30,5
0.6152713329072772,0.6701291275551532,0.682287876582739,0.6583961425026919,100,6.0,10,1
0.6148823251549085,0.6680557551372324,0.6839111459814642,0.6529188708393802,100,6.0,10,5
0.6114646141876685,0.6643623532800461,0.6817241379310345,0.6478629277655541,200,6.0,10,1
0.6039901080885827,0.6570080862533693,0.6760437818830172,0.6390150273863583,100,6.0,30,1
0.6009336186056851,0.6571496777273812,0.6704661698085636,0.6443518561865081,100,6.0,30,5
